Date,Time,Time to Complete,Protocol,Ping(ms),Location,Device,Filename,Server Destination
"Fri, 02 Oct 2020",01:22:31,0,FTP,32.77,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:22:36,0,SCP,31.33,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:24:50,0,FTP,32.47,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:26:13,0,FTP,31.7,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:32:40,0,FTP,37.48,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:32:59,0.328,SCP_COMPRESSED,123.31,Saxon,Desktop,texttest.txt,Singapore
"Fri, 02 Oct 2020",01:33:12,2.848,FTP,31.94,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:33:37,0.307,FTP,30.58,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:34:36,0,FTP,31.55,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:34:41,0.324,FTP,34.22,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:36:46,4.087,FTP,32.28,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:37:01,0.319,FTP,33,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:37:12,1.274,SCP_COMPRESSED,32.54,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:38:36,1.274,SFTP,31.36,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:38:41,1.286,SFTP_COMPRESSED,31.93,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:38:48,1.214,SCP,30.85,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:38:52,1.14,SCP_COMPRESSED,30.97,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:48:07,14.565,FTP_TLS,34.85,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:50:20,14.575,FTP_TLS,32.79,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:50:44,0.097,FTP_TLS,30.71,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:50:59,0.097,FTP_TLS,31.96,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:54:43,0.102,FTP_TLS,36.12,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:54:56,0.322,FTP,31.46,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",01:54:59,0.094,FTP_TLS,31.63,Saxon,Desktop,texttest.txt,Sydney
"Fri, 02 Oct 2020",02:00:59,0.321,FTP_TLS,32.53,Saxon,Desktop,texttest.txt,Sydney
